Opinion,Brand,Body
neu,msf,"A Child’s-Eye View Of #Microsoft’s #Kinect For Kids: http://t.co/xW1ACTtj | #solutions #Kasper
"
irr,ggl,"#google JL – Fashion GmbH, Zollikon, femme essentielle: SHOPPING: SUISSE: par astramedia: JL – Mode G... http://t.co/rZKIDJv6 #wikileaks
"
neu,twt,"#Twitter-off
"
neu,ggl,"RT @RUILIFESTYLE: #GOOGLE THE MIXTAPE http://t.co/v8zTtNVV
"
irr,twt,"De novo mais uma vez eu akie de madrugada falando sozinho no #Twitter =S
"
neg,apl,"Dear @Apple Contacts, you are terrible. I just cleaned duplicates for 3 hours and they magically reappeared. Fix it.
"
irr,ggl,"HANBELL SCREW COMPRESSORS MAINTENANCE MANUAL pdf ebook: http://t.co/tKHMMY5Y #google
"
neu,apl,"@Apple very disappointed Hogwarts not choice on world clock on iPhone
"
irr,msf,"RT @GrantThorntonNL: #grantthornton geeft gouden tips #verkoop #onderneming. Ook workshops #philips #nobel #rabobank #microsoft #port4gr ...
"
neu,apl,"If the iPhone 4 case fits the 4S why is @nlevenbrown @apple buying a new one?
"
irr,msf,"RT @MichelEnLaRed: #linux / #ubuntu - #Windows / #microsoft » http://t.co/TteunwMj !!Que gran diferencia!! -/
"
irr,ggl,"デフォでデータ通信制御？　#android #google
"
irr,twt,"RT @social_net_info: みんなでつくるTwitter連動型結婚式ムービーサービス「Congratweet（コングラッツイート）」: http://t.co/9osWU51e #Twitter
"
irr,msf,"Microsoft startet globale Dachkampagne für Consumer-Produkte: Ende des Monats feiert Microsoft eine M... http://t.co/qMX8opY0 #microsoft
"
neu,ggl,"#Google releases an Infinite Digital Bookcase http://t.co/FbvZq8Yp by @MeghanKel
"
irr,twt,"@itiinha_lais, é @EvelynJullyanne, segue de volta esse #Twitter, a gente ta fundando a Pastoral da Juventude e precisamos de ajuda! Segue bj
"
neu,msf,"Start your private cloud fast with the new HP VirtualSystem for Microsoft http://t.co/XEzz42Z2 #HP #Microsoft #HyperV #SystemCenter
"
pos,ggl,"Cream on the inside, clean on the outside. Ice Cream phone job. #Google
"
neu,ggl,"As far as I can tell, Google engineer Steve Yegge never intended to become famous for criticizing the c... http://t.co/SO1rCq0y #Google+
"
irr,twt,"#twitter off....A descansar...!!!
"
irr,ggl,"#Google mejora las presentaciones de #GoogleDocs http://t.co/SjiMOtov
"
irr,msf,"Web 2.0 Summit: Ballmer habló sobre Windows Phone y sus competidores http://t.co/dCOh8vfp #eventos #microsoft
"
neu,msf,"thinking thinking thinking thinking #dotnet #asp #microsoft
"
neg,apl,"Dear @apple, One day you're going to release a version of iTunes that doesn't freeze more often than it works. One day.
"
irr,twt,"Lite para que sirve despues de todo si tengo a #Twitter
"
irr,apl,"This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/tmQ50JRU
"
neu,ggl,"So is the #galaxynexus coming to @sprint any info @android #google #android
"
neu,ggl,"And here's the run-down on #Android4.0 aka #IceCreamSandwich http://t.co/f1V3HJAe #google
"
irr,twt,"@maxpowertoloza bienvenido #TWITTER jejejeeje buena!!!
"
neu,apl,"Apple sold FOUR MILLION iPhone 4S's in the first weekend: http://t.co/DdU2qM7O (via @Apple) #phonerecord #twiceiphone4sales
"
neu,msf,"How to oranise and sort your emails with the categories feature in #Microsoft #Outlook - http://t.co/NSpqbzFZ
"
pos,ggl,"RT @vattam: Man! I've fallen in love with Galaxy Nexus! #google #samsung #galaxynexus #android
"
neu,apl,"If @Apple could put the USB female connector in cars would be #Dope
"
irr,msf,"rilasciata la CTP di Roslyn, l'API """"compiler as a service"""" per C# e VB http://t.co/EfGDBBUW #microsoft #roslyn #ctp
"
irr,msf,"At the #Microsoft #imaginecup sri lanka in Peradeniya.
"
pos,twt,"@ammmylewis... Did @CarsonFratus just ditch Twitter for sleep?? #Weirdo... #Twitter&gt;Sleep
"
neu,apl,"...now with Siri were talking to our iPhones... how will we ever know if people are really truly crazy? :P #iphone4s #Siri #apple @apple
"
neu,twt,"I just installed the new Twidroyd for #Twitter on my #Android Phone - It's #Free, give it a try. http://t.co/eKh5JmGp
"
neg,apl,"I wish Siri could tweet for me . @apple fix that .
"
neu,msf,"Check out our newly revamped Testimonials page for more information on how #Microsoft #Dynamics #CRM can work fo... http://t.co/nnvy8NP2
"
neg,apl,"@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.
"
irr,msf,"RT @martijnkoster: Zeer leerzame dag vandaag #redhat en #microsoft. Morgenvroeg naar #tallgrass voor de nieuwste technieken op glasvezel ...
"
pos,apl,"dammit, listening to siri is making me want to upgrade. well played @apple.
"
neg,apl,"@electricsoup It has to connect to @Apple to process commands, which it is failing to do right now
"
irr,twt,"Tengo olvidado mi #twitter :S
"
irr,msf,"@dryab Да, потому что только наш рынок любит #Microsoft ))
"
neu,msf,"I wish there was #Microsoft #PowerPoint for #iPad.
"
neu,ggl,"Android 4.0 OS Ice Cream Sandwich and the Galaxy Nexus is out.seems that smartphones are named by hungry developers #Google+
"
pos,ggl,"http://t.co/Izh7KaiU #google #nexus #prime &lt;3 #android
"
neu,twt,"pinto el sueño #Twitter #OFF
"
neu,apl,"I want everybody on earth to iMessage me. Is there anyway the world can iMessage me without giving them my phone number??? @Apple
"
irr,msf,"Kat in het nauw #Microsoft #WindowsPhone : flink afgeven op je concurrent #Android http://t.co/tcDtTnIu
"
neu,msf,"#Microsoft builds a functioning 'holodesk' to interact with digital items - http://t.co/ougSB108 via @TheNextWeb
"
irr,twt,"RT @MizzSpicey: #TeamFollowBack #TFB #MustFollow #MF #FollowNow #FN #FollowFriday #FF #IFB #Twitter #Follow @DrunkedOutTeezy
"
irr,msf,"#ALG Iniciamos formación #Microsoft M-6292. Éxitos a los participantes! El conocimiento crece cuando se comparte. www.alg.net.ve
"
irr,twt,"Vamos a ver que esta ofreciendo #Twitter
"
neu,apl,"SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator - Posts on Twitter
"
neg,apl,"Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade @apple @marcoarment
"
irr,twt,"#TwitTer Donde la gente Te confiesan Su Vida sin Preguntar. O_o
"
neu,msf,"#Microsoft #Cloud Oracle, Windows Garner Different Views over Multitenant Cloud ...: Microsoft's cloud appr... http://t.co/lVzJNRPs #TCN
"
neu,ggl,"Samsung Galaxy Nexus launching in US, Europe and Asia this November http://t.co/SzchgKIf #android #google
"
irr,twt,"RT @SaeldesN: @AndeersonF_ è Nóis Indicar eu ai no teu #twitter Pra Galera Seguir Pode Ser ' ?
"
neg,msf,"After I don't know how many years, you still can't copy a #microsoft #word document headings to #powerpoint. #justsaying
"
irr,ggl,"يبدو ان طفرة الاجهزة الالكترونية القادمة ستكون بقيادة موتورولا ،، لاسيم بعد استحواذ قوقل عليها. #google #motorola #moto
"
irr,ggl,"閉鎖じゃなくて、そっくりストリームに反映できるようにしてくれるとありがたいんだけどな〜。&gt;&gt; グーグル、「Google Buzz」を閉鎖--「Google+」への完全 http://t.co/mOfsDfFq #google #buzz
"
irr,twt,"todos en #twitter conmocionados con #SoyTuFan2daTemporada
"
neu,twt,"ONE SERIOUS STATEMENT THO ! #Twitter BLOCKED the #Troy Davis #TT #Twitter was COOL w #AmberCole in my opinion .... BULLSHIT .
"
neu,msf,"Steve Ballmer At Web 2.0: #Microsoft CEO Disses Android, #iPhone http://t.co/JivkVbAh #sem #mobile
"
pos,ggl,"Thanks to Samsung and Google, I'm now craving for some Ice Cream Sandwich ! #IceCreamSandwich #Google #Samsung
"
irr,msf,"Meest comfortabele Touch area voor tablets, volgens onderzoek #Microsoft #augnl 2thumbsUp http://t.co/ChwcvZLE
"
irr,ggl,"#Android Beam 好像很厲害！#Google #ICS
"
neg,msf,"How #Apple eclipsed #Microsoft http://t.co/IJ6XyDp3 #sun rise #in via @guardian
"
neu,ggl,"#Google #News: Unwrapping Ice Cream Sandwich on the Galaxy Nexus: (Cross-posted on the Google Mob... http://t.co/AgC6PCz7 #harshgandhitk
"
neu,msf,"RT @TechZader: Microsoft applies for celebrity search patent #microsoft #bing http://t.co/5LbarN3n
"
neg,msf,"If #Apple came out with gaming console (ala Xbox 360) that blew the current players out of water, #Microsoft and #Sony would be in trouble
"
neu,ggl,"I would also like ice Cream Sandwich on my phone #google #android http://t.co/uTHuUECJ
"
neu,msf,"@bsteelooper: I vouched for you in #programmer, #microsoft engineer, and #ethical hacker on Connect.Me http://t.co/HIJqPBso
"
irr,twt,"#twitter off buenas noches:$
"
irr,msf,"#Microsoft ¿Eres uno de los millones de usuarios en r#iesgo de sufrir un ataque de #malware de... http://t.co/eJkelj3l ➨ @MicrosoftLatam
"
neu,apl,"RT @HowardMortman: .RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/7vZSIXpy
"
irr,twt,"nossa cade o povo desse #Twitter meu deus
"
irr,apl,"Se tan arruinando mis audifonos d mi #iphone @apple quien me quiere regalar unos? http://t.co/56eeE9uY
"
neu,apl,"But @att is """"working"""" with @apple to make their iPhone say 4G RT @JFSikora: @TCPJ_Mickey I'm so glad Apple is not slinging that crap.
"
neg,apl,"RT @JoelBurns: Dear @Apple, it's me again. Thank for beautiful new iOS features. But I miss some of the old ones. Lk making calls & texts &gt;(
"
irr,msf,"Según el estudio KAR de Ipsos, #Apple es la firma tecnológica más valorada por delante de #Microsoft, #HP e #IBM http://t.co/qlyQbRyd
"
neu,ggl,"Tips to make #Google always #crawl your #website http://t.co/SVYSckH7
"
neu,msf,"Just installed Windows 7 Ultimate Service Pack 1 with IE9. It looks like IE9 is trying to look like Chrome. #windows7 #ie9 #microsoft #ie8
"
neu,twt,"From my blog: ##changingdiapers Party #Summary & Winners List http://t.co/QfZHtNJs #twitter #upcomingparty
"
irr,twt,"vo dorrmi bjuss """"#TWITTER
"
neu,ggl,"Android Beam, panorama, Gmail offline, lockscreen, contacts, facial recognition unlock... #IceCreamSandwich #NexusPrime #Google
"
irr,ggl,"Kurz und knapp das wichtigste: #Google stellt neues Smartphone und Betriebssystem vor http://t.co/EeQJFL0P
"
irr,msf,"RT @remcovandenhout: Meest comfortabele Touch area voor tablets, volgens onderzoek #Microsoft #augnl 2thumbsUp http://t.co/ChwcvZLE
"
pos,twt,"There is no social media without #Twitter... Who could be #Twitterless?
"
irr,ggl,"RT @ishpconsult Der langsame Tod von SEO #Google -Suche für eingeloggte User verschlüsselt - http://t.co/SSdxjoWd
"
neg,apl,"should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience
"
irr,apl,"che palle sto cacchio di #WP7 di merda con un #Whatsapp che funziona di cacca per colpa del sistema di #notifica! @apple send me an #iphone
"
pos,ggl,"New Galaxy Nexus: OS Improvements - Built on Ice Cream Sandwich version of Android #nexus #samsung #google #android bit.ly/nEJbyE
"
pos,ggl,"#Android 4.0 Ice Cream: Introducing Galaxy Nexus. Simple, beautiful, beyond smart http://t.co/vUWgyx3N #Google
"
pos,ggl,"#Google #Android Icecream Sandwich OS for Nexus Prime Released! [LIVE BLOG] | http://t.co/LF03ZKUz #technology #hk
"
neu,msf,"Suppose Microsoft Had Bought Siri? - Forbes http://t.co/ZRYNdhDi #apple #microsoft #siri #msft
"
neg,msf,"#skype is ruining the friendship with your aggressive #microsoft type selling. If i need something i'll ask. Thank you...
"
irr,apl,"RT @Leahjanell: This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/Dp4XiDs2
"
neu,apl,"Can someone explain to me how the hell iMessage differs from a text message? @Apple
"
neu,twt,"@GForbz3 ma g wass good with you!! Didn't even kno you was on #twitter when was the last time you touched down in the city??
"
neu,ggl,"The Perks of Working at #Google, #Facebook, #Twitter and More [INFOGRAPHIC] http://t.co/ktK62gVq #sm #socialmedia #redessociales
"
irr,ggl,"#Publicidad Galaxy Nexus es la próxima generación de dispositivos Nexus co-desarrollado por #Samsung y #Google l http://t.co/yVWrw98h
"
irr,ggl,"RT @oli2be: For Twitter, free speech is what matters — not real names. http://t.co/DAnykTjl /@factsandtools #Twitter #Google
"
neu,apl,"iPhone 4S: Setup SIRI for your Tweets. http://t.co/uecqHL6k @apple #apple #iphone #siri
"
pos,msf,"#Microsoft tries to combine the #Xbox #WindowsPhone and #PC and all of them will share the same neat looking interface. http://t.co/J332zfpO
"
neu,msf,"@ScottShipman1 Glad to hear! Hey @Mckellip thank you for the #Microsoft #Lync video participation #onthebigscreen :) @CoreBTS #CoreAppTech
"
neu,msf,"Ballmer On Not Buying Yahoo: http://t.co/ypM4GXf9 #Microsoft #Yahoo #Skype #Xbox #Google #Bing #Ballmer
"
neg,twt,"Well... @Paging_Dr_A has gotten back on #twitter.. there goes my TL lol
"
irr,ggl,"Les annonces se suivent et sont toutes super pratiques #ics #android #google
"
irr,apl,"Me acabo de convertir en un #fanboy de @apple. El ipad2 con el cristal roto y me lo cambian aunque no lo cubre la garantía. Increíble!
"
irr,ggl,"Parisian Love: How to impress a French? http://t.co/Nh81Cbqf #google
"
irr,twt,"@nachogoano tiene 146692 seguidores, a la masividad de #twitter es sorprendente.
"
irr,twt,"Buenas Noches a Todos!!! Llego mi momento. Momento #Twitter de reflexiones y analisis. Pensamientos encontrados en lo profundo de la noche.
"
irr,msf,"@LorPan87 non per nulla l'ha comprato la #microsoft...
"
neu,apl,"SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator ---- Posts on Twitter
"
neu,twt,"I just installed the new Twidroyd for #Twitter on my #Android Phone - It's #Free, give it a try. http://t.co/dN3qwkkb
"
neu,ggl,"Android 4.0 SDK now available #google #android http://t.co/P05YR6PC
"
neu,ggl,"Sucks that I just threw down $3 for a panorama app when #ICS will have it as standard. Oh #Google, you pleasant bastards, you!
"
irr,apl,"O #itunes acaba de me avisar q esta disponível a versão 5 pra atualizar meu #Iphone 4. Como não cair de amores pela @apple e #SteveJobs ?!!
"
neg,apl,"Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity
"
irr,msf,"Saints Row: The Third and doughnuts for dinner http://t.co/TYP67KqF #microsoft #pc #playstation #ps3
"
neu,apl,"@apple please provide support for a Bangla keyboard in iOS. It would make the life of many Bengali iOS users easier! #iphone
"
neg,msf,"#Google go went gone..server issues! first time since ages...now my faith in Tech. from #RIM to #Microsoft has been completely lifted
"
neu,apl,"Stay hungry, stay foolish. Steve Jobs, founder @Apple #WinningWithEL
"
neu,msf,"Microsoft turns your body into a touchscreen http://t.co/YE0NZy82 #Microsoft
"
neu,apl,"Salesperson at #soho @Apple store """"it doesn't matter how many people are lined up out front. They're not gonna get one"""" #iphone4s
"
neu,msf,"RT @PacktEnterprise: Book Published! #Microsoft #SharePoint 2010 Power User Cookbook: http://t.co/A8ZqMpYP @spmentor http://t.co/v0mO0VkQ
"
neu,twt,"i just realized... if i have a ridiculously long name in #twitter, no one could reply to me. *hmm* the possibilities.
"
neg,twt,"The first thing I do when I get home is either get on #facebook or #twitter. What is wrong with me?
"
irr,apl,"Señores de @Apple me encantan los iPod, los iPhone, los iPad y todo lo que empieza por i pero también me gustaría ver los putos vídeos!
"
neu,ggl,"nothing like saying 'screw you' to a bad real estate company on 7 different social pages! #google #citysearch #yellowpages #yelp #yahoo ...
"
pos,apl,"Loving #iOS5 !! #awesome @Apple
"
irr,twt,"Puta pero da Wueba dormirse....Bueno mejor sigo en #Twitter..jejeje :)
"
irr,msf,"#Job #ICT Windows Client Engineering im IT Forschungsumfeld!: GSI Consultants, Zürich http://t.co/0OQ1qvEn #Microsoft #IT
"
pos,apl,"@apple the iPhone 4s is great #genius
"
neu,twt,"Twhistler makes Twitter sing! #twitter http://t.co/wwNZ6dx6
"
neu,apl,"@notleifgarrett @apple you'll be able to afford that mansion one day.
"
pos,ggl,"RT @ThatTechGuy92: LITERALLY HAD MY MIND BLOWN AWAY JUST NOW!!!!! #Google #Samsung
"
neu,ggl,"The new Samsung Galaxy nexus.. http://t.co/UtbpXrsj #Android #Samsung #Google #WoW CC @kha1989led @eisaahmad
"
neu,apl,"@iH8sn0w @MuscleNerd ...well @apple considers jailbreaking illegal but we still do it 😉
"
irr,ggl,"#google Jeux d’été 2012 robes du soir 57e empire: Jeux d’été 2012 robes Empire robe de soirée, robe d... http://t.co/zMD42jJJ #wikileaks
"
neu,ggl,"@csg122 http://t.co/TBxLrvin Hopefully you check twitter often enough to find this article. :D #google #ICS
"
neu,ggl,"The new #google phone. Yoooo http://t.co/sr4sCat7
"
irr,twt,"#twitter #detik Ali Imron dan Imam Samudra Survei Paddys Pub http://t.co/otUl1ujQ
"
neu,twt,"#Facebook Y #Twitter Off xd
"
pos,apl,"Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone
"
neu,apl,"RT @MarcMonster: Siri keeps trying to send me to escort services....is that legal? @Apple
"
neu,twt,"My #twitter age is 2 years 160 days 2 hours 28 minutes 32 seconds. Find out yours at http://t.co/3YI2oDVK #twittertime
"
neu,apl,"@Reddclay81 now that were done prasing @Apple 's #iOS5 Everyone go subscribe to notsosuperpro! #shamlessselfpromotion
"
neu,ggl,"@5in_n_the_Air #GOOGLE time kml
"
neu,ggl,"#Pearson and #Google take advantage of the profound lack of LMS PD with their new offering http://t.co/4RsRDU4G Also do not do reporting
"
neu,twt,"NIGGAS B TALK REACLESS OVA #TWITTER LIKE I DNT GOT DAT TOOL N MI TRUCK #BASKETBALL OV COURSE
"
irr,msf,"IMEに秋田弁辞書なんてあったらおもしろいのに #Akita #IME #Microsoft
"
irr,ggl,"#google เริ่มเปิดต้วระบบปฎิบัติการ Android 4.0 Ice Cream Sandwich แล้ว
"
neu,ggl,"Embed Google Calendar To Your Wordpress Post: http://t.co/ah8km2JF #wordpress #google
"
neu,msf,"DPR Client: @EvolveTech partnering with #Microsoft on #Office 365 webinar Tuesday, Nov. 1, at 10 a.m. ET. Sign up! http://t.co/hnrzdFk5
"
irr,twt,"@Juanbatero1 puchis, apareciste en #twitter voss.... q onda...q congelada la q me estoy dando vos...
"
irr,ggl,"Wordt er al een beetje gebruik gemaakt van #google+ #durtevragen
"
neg,apl,"Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!
"
irr,twt,"casual @romeo_nogtz se mete al #twitter y me deja hablando sola en el whatsapp
"
neg,msf,"Reader 'Tronman' compares #SteveBallmer to an albatross around #Microsoft's neck. Do you agree? Join the discussion! http://t.co/Mn39R2vc
"
irr,msf,"¿Recuerdan que #Apple había comprado el dominio html5 .com? http://t.co/qb0pix09 pues ahora es de #Microsoft :O ¿Qué se traen estos?
"
neu,apl,"@Apple has lunched its new OS: iSO 5
"
irr,msf,"RT @DonChambitas: Busco más Desarrolladores C# con experiencia también en #Testing para proyecto en #Microsoft http://t.co/tNWl0OYu #net ...
"
irr,ggl,"RT @twandroid: Consommation data affichée dans les paramètres, avec même une approximation de la consommation future !#google #nexusprime
"
neu,msf,"iCloud Control Panel for Windows: http://t.co/8nJ4VHNL #win7 #windows7 #apple #ipad #iphone #ipod #iphone4s #microsoft #icloud
"
irr,ggl,"Possibilité de voir les mises à jour (un peu comme Sony Ericsson avec l'intégration Facebook) #google #nexusprime
"
pos,ggl,"Google Ice Cream Sandwich - sounds yummy! What do you think? http://t.co/gMsgXcq8 #google #Android #ice cream sandwich
"
neu,ggl,"New tools giving the user the ability to restrict mobile data usage. #Google #Android #ICS
"
neu,twt,"even if I skip the newspaper, I don't worry coz I get all news updates at #Twitter. :)
"
pos,ggl,"@WPdesignteam @joebelfiore @windowsphone - You guys just taught #Google #Android how to design a decent phone. So much Metro. Good Job guys!
"
pos,ggl,"RT @Sarahhhhh112: @_xmas_carroll Yeah I got #skype and #google+ and #twitter so who needs facebook?
"
irr,twt,"Niemiecki rząd uruchomił w środę własny kanał na YouTube - Wiadomosci 24: Niemiecki rząd uruchomił w śr... http://t.co/n6Wp2QZv #twitter
"
irr,msf,"RT @MicrosoftSrbija: Andy Malone na #mssinergija keynoteu vodi prisutne kroz #microsoft istoriju: http://t.co/OIQFwJ4f
"
neg,apl,"“@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.” &lt;&lt; check Settings: 8 times more App usage in iOS 5
"
neu,apl,"De la nada mi #iPhone4 se fue a negro y empezó a vibrar, hubo que resetearlo, que onda con #iOS5 WTFH @Apple
"
neu,twt,"Good night #Twitter Off(:
"
neu,msf,"Congrats to #Microsoft's Monica Diaz for being part of @HispanicBizMag 100 Most Influential Hispanics! http://t.co/qj9QDBhA
"
neu,msf,"RT @SAPWorkSmarter: Tomorrow at #SAPTechEd Bangalore: #SAP & #Microsoft Building Apps for Both Worlds w #DuetEnterprise & #SAPGateway. h ...
"
irr,msf,"RT @slashdotjp: http://t.co/zK1dtFiS #マイクロソフト #microsoft Microsoft、Skype の買収を完了
"
irr,msf,"realmente indispensável nos dias de hoje os serviços corporativos oferecidos pelo #SKYPE. #Fato #TI #Microsoft
"
neu,apl,"can't wait for @Spotify and @Apple to integrate with Siri.
"
irr,twt,"Querida @mamá, te escribo esta #carta para dejarte tranquila, no estoy todo el tiempo en #Twitter. Fav para papá y un RT para ti.
"
neg,apl,"any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious
"
neg,apl,"DAMN YOU !!! @apple
"
neu,apl,"bored - need a new intriguing #app for my #iPad. Any suggestions? @apple #yyc @Gadget_Guy
"
irr,msf,"#Microsoft expande su plataforma de datos con #SQLServer2012. Los clientes tendrás más flexibilidad y escalabilidad. http://t.co/kNRjOflf
"
neu,twt,"Goodnight #twitter
"
pos,ggl,"#Google has done it again ..... #IceCream Sandwich
"
irr,msf,"#microsoft Grupo Confidence troca software livre por plataforma Microsoft http://t.co/DqCG83WJ #windows #tecnologia
"
irr,ggl,"びっくりΣ(ﾟﾛﾟﾉ)ﾉ１７５㌢ 小倉弘子アナウンサー でも惠俊彰も小さい！ #TBS #Hiruobi #Honjamaka 小倉弘子さんのバストアップの画像 たくさんありました。妊娠、育児中の #Busty #Google #Search 天海祐希 #Dummy
"
irr,ggl,"Todavía existe #Google+ ?
"
irr,msf,"Dropbox, el servicio de almacenamiento en la nube, por las nubes http://t.co/QJ73xjlE #web #microsoft #tecnologia
"
neg,msf,"#Skype often crashing: #microsoft, what are you doing?
"
neu,twt,"#twitter is not #eharmony
"
neu,ggl,"#Google Defaults to Encrypted HTTPS #Searches for Logged In Users [#Security] http://t.co/kzMZDxmE
"
neu,apl,"@apple http://t.co/2YcsCG68 via @donorschoose
"
irr,apl,"Today very cheap for 2198597 Icemaker.And Free shipping for 2198597 Icemaker too. http://t.co/6CLkWAiO@French @Apple @Peeler
"
neu,apl,"@apple predicts #Siri in 1987 in video, the video is staged for September 2011 http://t.co/tFNRP3MD
"
irr,twt,"Ya tengo sueño y mañana madrugo DDD: #HastaMañana #TweetOff Pstd: #Twitter produce #insomnio y es tan #Pocesivo e.e #bye !! #siguemeytesigo
"
neg,msf,"RT @InformationWeek: Reader 'Tronman' compares #SteveBallmer to an albatross around #Microsoft's neck. Do you agree? Join the discu...
"
neu,ggl,"Haven't even freshened up, due to #Google's #IceCreamSandwichEvent. #OffToShower now.
"
neu,ggl,"RT @VentureBeat: #Google releases an Infinite Digital Bookcase http://t.co/DNwy6mqx by @MeghanKel
"
neu,twt,"GN #twitter off.
"
neu,msf,"Google Docs presentation makes PowerPoint weep, beg for mercy http://t.co/9rVHs6jk via @engadget #google #powerpoint #microsoft #haha
"
pos,ggl,"#Android #Google Device Frame Generator Updated For Galaxy Nexus - Your Screenshots Just Got Prettier http://t.co/9bWt2W6z #DhilipSiva
"
irr,ggl,"RT @DanyFajardo: @DanielaS04 :) eso!!! #Google+
"
neg,ggl,"From it's laughable file: #google will #encrypt #search results BUT only if U have """"logged in"""" so they can maximize their #data #collection!
"
irr,apl,"追悼ジョブズ氏…@Apple Store#fb http://t.co/V07PBNdP
"
pos,apl,"@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
"
neu,msf,"Microsoft opens the spigot, Windows Phone Mango available to all #microsoft #windowsphone http://t.co/nwMbseVm #neowin
"
neg,apl,"@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
"
neg,twt,"Wtf is a tweet , sounds like tha dam cartoon network #tweeted #tweeter #twitter #twitterer
"
neg,apl,"@PrJusto Don't question the @Apple they will remember your dissent!
"
neu,twt,"@obsexxed69 got one of the dopest blogs on #Twitter and #Tumblr...#RealTalk
"
pos,twt,"RT @TreyHob21: #twitter gives everyone that voice that they believe should be heard by people... unlike real life... lol
"
irr,msf,"Voor die links van Martin #Microsoft zijn QR codes dan weer wel handig.. in een publiek zoals dit althans :) #AUGNL
"
irr,twt,"Deiixando o #twitter BOA NOITE a todos qual quer coisa só chamarem no facebook! http://t.co/LOeZAYeE #FUI
"
neu,msf,"The NEW #Microsoft Action Pack gives @MSPartners access to software, development tools, training and market visibility!
"
irr,ggl,"RT @interfase: Andy Rubin de #Google develó oficialmente el Samsung #GalaxyNexus, el 1er smartphone con #Android4.0 Ice Cream Sandwich h ...
"
pos,ggl,"Fantastic work from #Samsung and #Google on the #GalaxyNexus superphone and the new #Android #ICS. Very impressive.
"
neg,apl,"@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made
"
neg,msf,"Is #Microsoft just another evil corporation? Beware when it comes to buying a #Windows8 PC http://t.co/QbgXXJMm
"
irr,msf,"#FailSteveJobs #Microsoft โดย ARIP ฮาๆ มีสับสนนิดโหน่ย XD cc @failinth =P http://t.co/zPzNMwVe
"
pos,ggl,"New calendar app with pinch to zoom capabilities. Far superior to the current one! #Google #Android #ICS
"
neu,msf,"RT @guardiantech: #Microsoft Kinect brings 'playful learning' to the Xbox 360 http://t.co/ys79quRD #Gaming
"
neu,apl,"@bidmyway I like your app for the @apple iPhone very simple and easy to use!
"
neu,twt,"37 Ways to Use #Twitter for Business	http://t.co/HGhMpoSE
"
neu,twt,"Thought about changing my #twitter profile to I'm tall, dark & single, but don't think I could take the responses if any! Lol. Night folks.
"
neu,twt,"@_ahooten23 welcomee to #twitter
"
irr,msf,"#Polska #Apple #Torrent #Mac Free Download!!! #Microsoft Office 2011 Mac PL http://t.co/t2iC4z3F
"
irr,twt,"@Yesenia_Rivero puxi losiento deverdad q toy medio alejadoo de #twitter pero pronto estare al dia.. cuidate muxo. besitos a distancia bay!!!
"
neu,msf,"#Google #Mobile Boss Andy Rubin on #Apple, #Microsoft and Tablets, Live at AsiaD - Ina Fried - #Mobile - AllThingsD http://t.co/S0jkqPwn
"
irr,msf,"RT @profissionaisti: http://t.co/1ioM4Fqs O que realmente pode mudar com o Windows 8 #windows8 #microsoft
"
neu,apl,"#Iphone5 can you please make The battery last longer thanks @Apple
"
neu,msf,"Cyclone II 1.0.2 http://t.co/n6LR23KJ #c++ #microsoft #music
"
neu,ggl,"116 new #jobs posting for #google http://t.co/XfG6l29D #jobely
"
irr,ggl,"Parabens #google gostei bastante do novo Android #android
"
pos,apl,"@iancollinsuk @apple I like what you did there...!
"
neu,msf,"#Infosys, #Microsoft team up to offer #cloud #services - http://t.co/9dEVf9Tz
"
neu,ggl,"Funny how #samsung didn't have the #facebook app on their #galaxynexus demo but instead had #google+ LOOL.
"
neu,twt,"Meu twitter tá ficando velho já, My #twitter age is 285 days 8 hours 52 minutes 40 seconds
"
neu,ggl,"@jpobrien11 or windows bridge for windows phones and don't try and pretend apple didn't steal the notification bar from #google #droidtweets
"
neu,apl,"@Apple, Y U NO LET ME PRE-ORDER IPHONE 4S?
"
